Year,Province,District,Medium,Gender,Admissions
2022,Western,Colombo,Sinhala,Male,9588
2022,Western,Colombo,Sinhala,Female,9133
2022,Western,Colombo,Tamil,Male,1127
2022,Western,Colombo,Tamil,Female,1274
2022,Western,Gampaha,Sinhala,Male,10733
2022,Western,Gampaha,Sinhala,Female,10748
2022,Western,Gampaha,Tamil,Male,737
2022,Western,Gampaha,Tamil,Female,691
2022,Western,Kalutara,Sinhala,Male,6794
2022,Western,Kalutara,Sinhala,Female,6547
2022,Western,Kalutara,Tamil,Male,1152
2022,Western,Kalutara,Tamil,Female,1243
2022,Central,Kandy,Sinhala,Male,7334
2022,Central,Kandy,Sinhala,Female,6934
2022,Central,Kandy,Tamil,Male,2564
2022,Central,Kandy,Tamil,Female,2514
2022,Central,Matale,Sinhala,Male,3230
2022,Central,Matale,Sinhala,Female,3185
2022,Central,Matale,Tamil,Male,695
2022,Central,Matale,Tamil,Female,717
2022,Central,Nuwaraeliya,Sinhala,Male,2214
2022,Central,Nuwaraeliya,Sinhala,Female,2085
2022,Central,Nuwaraeliya,Tamil,Male,3483
2022,Central,Nuwaraeliya,Tamil,Female,3390
2022,Southern,Galle,Sinhala,Male,7592
2022,Southern,Galle,Sinhala,Female,7189
2022,Southern,Galle,Tamil,Male,172
2022,Southern,Galle,Tamil,Female,170
2022,Southern,Matara,Sinhala,Male,5744
2022,Southern,Matara,Sinhala,Female,5271
2022,Southern,Matara,Tamil,Male,328
2022,Southern,Matara,Tamil,Female,257
2022,Southern,Hambantota,Sinhala,Male,5654
2022,Southern,Hambantota,Sinhala,Female,5321
2022,Southern,Hambantota,Tamil,Male,94
2022,Southern,Hambantota,Tamil,Female,113
2022,Northern,Jaffna,Sinhala,Male,0
2022,Northern,Jaffna,Sinhala,Female,0
2022,Northern,Jaffna,Tamil,Male,3503
2022,Northern,Jaffna,Tamil,Female,3443
2022,Northern,Mannar,Sinhala,Male,0
2022,Northern,Mannar,Sinhala,Female,1
2022,Northern,Mannar,Tamil,Male,1012
2022,Northern,Mannar,Tamil,Female,908
2022,Northern,Vavuniya,Sinhala,Male,169
2022,Northern,Vavuniya,Sinhala,Female,185
2022,Northern,Vavuniya,Tamil,Male,1239
2022,Northern,Vavuniya,Tamil,Female,1162
2022,Northern,Mullativu,Sinhala,Male,95
2022,Northern,Mullativu,Sinhala,Female,108
2022,Northern,Mullativu,Tamil,Male,768
2022,Northern,Mullativu,Tamil,Female,762
2022,Northern,Kilinochchi,Sinhala,Male,0
2022,Northern,Kilinochchi,Sinhala,Female,0
2022,Northern,Kilinochchi,Tamil,Male,919
2022,Northern,Kilinochchi,Tamil,Female,921
2022,Eastern,Batticaloa,Sinhala,Male,24
2022,Eastern,Batticaloa,Sinhala,Female,16
2022,Eastern,Batticaloa,Tamil,Male,4907
2022,Eastern,Batticaloa,Tamil,Female,4790
2022,Eastern,Ampara,Sinhala,Male,2274
2022,Eastern,Ampara,Sinhala,Female,2235
2022,Eastern,Ampara,Tamil,Male,4425
2022,Eastern,Ampara,Tamil,Female,4084
2022,Eastern,Trincomalee,Sinhala,Male,884
2022,Eastern,Trincomalee,Sinhala,Female,921
2022,Eastern,Trincomalee,Tamil,Male,3114
2022,Eastern,Trincomalee,Tamil,Female,2939
2022,North Western,Kurunegala,Sinhala,Male,11425
2022,North Western,Kurunegala,Sinhala,Female,10869
2022,North Western,Kurunegala,Tamil,Male,1223
2022,North Western,Kurunegala,Tamil,Female,1281
2022,North Western,Puttlam,Sinhala,Male,4458
2022,North Western,Puttlam,Sinhala,Female,4315
2022,North Western,Puttlam,Tamil,Male,1930
2022,North Western,Puttlam,Tamil,Female,1947
2022,North Central,Anuradapura,Sinhala,Male,7120
2022,North Central,Anuradapura,Sinhala,Female,6983
2022,North Central,Anuradapura,Tamil,Male,883
2022,North Central,Anuradapura,Tamil,Female,845
2022,North Central,Polonnaruwa,Sinhala,Male,3355
2022,North Central,Polonnaruwa,Sinhala,Female,3143
2022,North Central,Polonnaruwa,Tamil,Male,444
2022,North Central,Polonnaruwa,Tamil,Female,456
2022,Uva,Badulla,Sinhala,Male,4843
2022,Uva,Badulla,Sinhala,Female,4924
2022,Uva,Badulla,Tamil,Male,1728
2022,Uva,Badulla,Tamil,Female,1745
2022,Uva,Monaragala,Sinhala,Male,4270
2022,Uva,Monaragala,Sinhala,Female,4099
2022,Uva,Monaragala,Tamil,Male,246
2022,Uva,Monaragala,Tamil,Female,235
2022,Sabaragamuwa,Ratnapura,Sinhala,Male,7260
2022,Sabaragamuwa,Ratnapura,Sinhala,Female,7194
2022,Sabaragamuwa,Ratnapura,Tamil,Male,934
2022,Sabaragamuwa,Ratnapura,Tamil,Female,881
2022,Sabaragamuwa,Kegalle,Sinhala,Male,4837
2022,Sabaragamuwa,Kegalle,Sinhala,Female,4733
2022,Sabaragamuwa,Kegalle,Tamil,Male,948
2022,Sabaragamuwa,Kegalle,Tamil,Female,964
2023,Western,Colombo,Sinhala,Male,25983
2023,Western,Colombo,Sinhala,Female,25114
2023,Western,Colombo,Tamil,Male,2950
2023,Western,Colombo,Tamil,Female,3106
2023,Western,Colombo,English,Male,0
2023,Western,Colombo,English,Female,0
2023,Western,Gampaha,Sinhala,Male,8991
2023,Western,Gampaha,Sinhala,Female,8548
2023,Western,Gampaha,Tamil,Male,1125
2023,Western,Gampaha,Tamil,Female,1153
2023,Western,Gampaha,English,Male,0
2023,Western,Gampaha,English,Female,0
2023,Western,Kalutara,Sinhala,Male,10305
2023,Western,Kalutara,Sinhala,Female,10341
2023,Western,Kalutara,Tamil,Male,716
2023,Western,Kalutara,Tamil,Female,724
2023,Western,Kalutara,English,Male,0
2023,Western,Kalutara,English,Female,0
2023,Central,Kandy,Sinhala,Male,12106
2023,Central,Kandy,Sinhala,Female,11846
2023,Central,Kandy,Tamil,Male,6633
2023,Central,Kandy,Tamil,Female,6368
2023,Central,Kandy,English,Male,0
2023,Central,Kandy,English,Female,0
2023,Central,Matale,Sinhala,Male,6893
2023,Central,Matale,Sinhala,Female,6738
2023,Central,Matale,Tamil,Male,2574
2023,Central,Matale,Tamil,Female,2479
2023,Central,Matale,English,Male,0
2023,Central,Matale,English,Female,0
2023,Central,Nuwaraeliya,Sinhala,Male,3202
2023,Central,Nuwaraeliya,Sinhala,Female,3066
2023,Central,Nuwaraeliya,Tamil,Male,758
2023,Central,Nuwaraeliya,Tamil,Female,692
2023,Central,Nuwaraeliya,English,Male,0
2023,Central,Nuwaraeliya,English,Female,0
2023,Southern,Galle,Sinhala,Male,18258
2023,Southern,Galle,Sinhala,Female,17342
2023,Southern,Galle,Tamil,Male,610
2023,Southern,Galle,Tamil,Female,579
2023,Southern,Galle,English,Male,74
2023,Southern,Galle,English,Female,55
2023,Southern,Matara,Sinhala,Male,7357
2023,Southern,Matara,Sinhala,Female,7187
2023,Southern,Matara,Tamil,Male,165
2023,Southern,Matara,Tamil,Female,177
2023,Southern,Matara,English,Male,74
2023,Southern,Matara,English,Female,55
2023,Southern,Hambantota,Sinhala,Male,5572
2023,Southern,Hambantota,Sinhala,Female,5147
2023,Southern,Hambantota,Tamil,Male,348
2023,Southern,Hambantota,Tamil,Female,271
2023,Southern,Hambantota,English,Male,0
2023,Southern,Hambantota,English,Female,0
2023,Northern,Jaffna,Sinhala,Male,252
2023,Northern,Jaffna,Sinhala,Female,268
2023,Northern,Jaffna,Tamil,Male,7627
2023,Northern,Jaffna,Tamil,Female,7397
2023,Northern,Jaffna,English,Male,0
2023,Northern,Jaffna,English,Female,0
2023,Northern,Mannar,Sinhala,Male,0
2023,Northern,Mannar,Sinhala,Female,0
2023,Northern,Mannar,Tamil,Male,3556
2023,Northern,Mannar,Tamil,Female,3486
2023,Northern,Mannar,English,Male,0
2023,Northern,Mannar,English,Female,0
2023,Northern,Vavuniya,Sinhala,Male,0
2023,Northern,Vavuniya,Sinhala,Female,1
2023,Northern,Vavuniya,Tamil,Male,1022
2023,Northern,Vavuniya,Tamil,Female,1046
2023,Northern,Vavuniya,English,Male,0
2023,Northern,Vavuniya,English,Female,0
2023,Northern,Mullativu,Sinhala,Male,149
2023,Northern,Mullativu,Sinhala,Female,167
2023,Northern,Mullativu,Tamil,Male,1249
2023,Northern,Mullativu,Tamil,Female,1154
2023,Northern,Mullativu,English,Male,0
2023,Northern,Mullativu,English,Female,0
2023,Northern,Kilinochchi,Sinhala,Male,103
2023,Northern,Kilinochchi,Sinhala,Female,100
2023,Northern,Kilinochchi,Tamil,Male,813
2023,Northern,Kilinochchi,Tamil,Female,734
2023,Northern,Kilinochchi,English,Male,0
2023,Northern,Kilinochchi,English,Female,0
2023,Eastern,Batticaloa,Sinhala,Male,3172
2023,Eastern,Batticaloa,Sinhala,Female,3064
2023,Eastern,Batticaloa,Tamil,Male,13399
2023,Eastern,Batticaloa,Tamil,Female,12752
2023,Eastern,Batticaloa,English,Male,0
2023,Eastern,Batticaloa,English,Female,0
2023,Eastern,Ampara,Sinhala,Male,22
2023,Eastern,Ampara,Sinhala,Female,17
2023,Eastern,Ampara,Tamil,Male,5447
2023,Eastern,Ampara,Tamil,Female,5059
2023,Eastern,Ampara,English,Male,0
2023,Eastern,Ampara,English,Female,0
2023,Eastern,Trincomalee,Sinhala,Male,2258
2023,Eastern,Trincomalee,Sinhala,Female,2210
2023,Eastern,Trincomalee,Tamil,Male,4536
2023,Eastern,Trincomalee,Tamil,Female,4396
2023,Eastern,Trincomalee,English,Male,0
2023,Eastern,Trincomalee,English,Female,0
2023,North Western,Kurunegala,Sinhala,Male,15569
2023,North Western,Kurunegala,Sinhala,Female,14974
2023,North Western,Kurunegala,Tamil,Male,3271
2023,North Western,Kurunegala,Tamil,Female,3263
2023,North Western,Kurunegala,English,Male,0
2023,North Western,Kurunegala,English,Female,0
2023,North Western,Puttlam,Sinhala,Male,11160
2023,North Western,Puttlam,Sinhala,Female,10742
2023,North Western,Puttlam,Tamil,Male,1270
2023,North Western,Puttlam,Tamil,Female,1252
2023,North Western,Puttlam,English,Male,0
2023,North Western,Puttlam,English,Female,0
2023,North Central,Anuradapura,Sinhala,Male,10266
